"","pdf_name","keyword","page_num","line_num","line_text","header","point_num"
"1","Sample-2.pdf","Limitation",6,117,"Unless otherwise specified, the following terms shall have the following meanings in this Agreement: ""24 x 7 x 365"" means, in relation to any of the Core Services, a continuous period of time which runs twenty-four hours per day on every day of every calendar year, including, for the avoidance of doubt, public holidays, weekends and any other day on which business may not usually be conducted; ""Anti-Bribery Laws"" means, to the extent applicable to the Company or any Shareholder (as applicable) from time to time, the US Foreign Corrupt Practices Act 1977, as amended, any rules and regulations thereunder, the Bribery Act 2010 and any similar laws or regulations in any other jurisdiction; ""Applicable Laws"" means applicable laws, rules, regulations, regulatory guidance, regulatory requirements and any form of secondary legislation, resolution, policy guideline, concession or case law from time to time; 53782-3-3224 v.01                               -1-                                       OFFICE  EXECUTION VERSION <93>Assisted Go Live Date<94> means the date on which the Supplier starts delivering the Core Services from its premises, however with support from other teams at Clifford Chance ""Authorised Users"" means any other person authorised by Clifford Chance from time to time to be a recipient or beneficiary of the Core Services; ""Business Day"" means each day other than a Saturday, Sunday or public holiday in England; ""Clifford Chance Personal Data"" has the meaning given to it in Clause 44.1; ""CCR"" or ""Change Control Request"" means a request for a change in the form specified in Schedule 10 (Change Control); ""CCN"" or ""Change Control Note"" means a form specified in Schedule 10 (Change Control); ""Change Control"" means the change control system set out in Schedule 10 (Change Control); ""Change Manager"" means a person appointed by the Supplier and Clifford Chance respectively to manage Change Control; ""Charges"" means the fees payable by Clifford Chance under this Agreement, calculated in accordance with Schedule 3 (Pricing); ""Checkpoint"" has the meaning given to it in Schedule 4 (Implementation Plan); ""Clifford Chance Client Data"" means the client data that Clifford Chance holds; ""Clifford Chance Entity"" means each of the partnership of Clifford Chance (the ""Partnership"") and its associated firms, as constituted from time to time, whether incorporated or not, trading under the name of or a name including Clifford Chance and/or associated financially with the Partnership or (in the case of a corporate entity) whose shares or similar proprietorship rights are held directly or indirectly in the interests of the Partnership or any associated firm; ""Clifford Chance Policies"" means the policies identified as such in Clause 24.1; ""Confidential Information"" means all information of a confidential nature: (a)     disclosed (by whatever means, directly or indirectly): (i)    by or on behalf of any Clifford Chance Entity or other Authorised User to the Supplier or a sub-contractor; or (ii)   by or on behalf of the Supplier or a sub-contractor to any Clifford Chance Entity, 53782-3-3224 v.01                               -2-                                        OFFICE  EXECUTION VERSION in connection with this Agreement, whether before or after the Effective Date, including any information relating to the Intellectual Property, systems, products, operations, processes, plans, intentions, product information, market opportunities or business affairs of the person making the disclosure or its group undertakings, sub-contractors, suppliers, customers, clients or other contacts; or (b)      which relates to the provision or use of the Core Services to or by Clifford Chance and is prepared, devised or written by the Supplier or a sub-contractor, and all information relating to any Clifford Chance Entity, the Authorised Users or its or their sub-contractors, suppliers, customers, clients or other contacts which is disclosed to, or processed or otherwise handled by, the Supplier or a sub-contractor in the course of the performance of the Supplier's obligations under this Agreement is deemed to be of a confidential nature and owned by Clifford Chance; ""Contract Managers"" means a person appointed by the Supplier and Clifford Chance respectively to manage all aspects of this Agreement; Core Services: means the services described in the Statement of Requirements, together with those activities described in Clause 6.6 ""Effective Date"" means the date of this Agreement; ""Emergency Change"" means a change designated as such by Clifford Chance's Change Manager; ""Exit Phase"" means the period from Start of Exit Phase until the Supplier has performed all of its obligations under Schedule 9 (Exit Arrangements); ""Exit Plan"" has the meaning given to it in Clause 29.1; ""Exit Transfer Time"" means: (a)      if this contract expires, the expiry date; (b)      if this contract terminates, the date upon which notice of termination takes effect; ""Force Majeure Event"" means strikes, lock-outs and labour disputes (excluding strikes, lock-outs and labour disputes involving Supplier Personnel), acts of God, war, riots, civil commotion, fires, floods and storms; ""Full Time Equivalent"" or ""FTE"" means one of the Supplier's personnel working fulltime (40 hours per week, excluding leave) to provide Core Services to Clifford Chance in accordance with this agreement; 53782-3-3224 v.01                                  -3-                                       OFFICE  EXECUTION VERSION ""GBP"" or ""<a3>"" shall mean the lawful currency of the United Kingdom, which is commonly referred to as pounds sterling as of the date of this Agreement; ""Governance"" means the governance framework set out in Schedule 6 (Governance); ""Governance Council"" means the committee described as such in Schedule 6 (Governance); ""Implementation Plan"" means the plan set out in Schedule 4 (Implementation Plan); ""Intellectual Property Rights"" means all industrial and intellectual property rights, whether registered or not, including but not limited to domain names, copyrights (including any rights in software, patents, any rights in respect of unique marketing codes, trade, business and company names, colour combinations, logos, slogans, get-up, trade dress, packaging and marketing materials, as well as pending applications for registration of such rights and the right to apply for registration or extension of such rights; ""Knowledge Transfer Objective"" has the meaning given to it in Clause 17.1; ""Knowledge Transfer Recipients"" has the meaning given to it in Clause 17.1; ""Management Committee"" means the committee described as such in Schedule 6 (Governance); ""Maximum Liability Amount"" has the meaning given to it in sub-clause 32.3.2; ""New Supplier"" means any supplier taking over the provision of the Core Services and replacing the Supplier in this regard; ""OOH"" means, in relation to a Core Service, a Core Service provided out-of-hours; ""Operational Manual"" means a manual to be developed and maintained by the Supplier under Clause 8 (Operational Manual) that describes how the parties will work together and how the Core Services are to be performed; ""Operations Committee"" means the committee described as such in Schedule 6 (Governance); ""Permitted Purposes"" means all reasonable purposes for the performance of obligations under, or exercise of rights under, this Agreement; ""Redundancy"" shall have the meaning set out in s.139 Employment Rights Act 1996 or Part IV of the Trade Union and Labour Relations (Consolidation) Act 1992, as applicable; ""Redundancy Costs"" means all statutory and contractual redundancy payments, payments of salary and benefits in lieu of notice, including the cost of enhanced pension provided on redundancy or early retirement and any compensation payable 53782-3-3224 v.01                               -4-                                         OFFICE  EXECUTION VERSION for unfair dismissal or unlawful discrimination or protective awards made under the provisions of the Trade Union and Labour Relations (Consolidation) Act 1992; ""Remedy"" means the software used by Clifford Chance under the name Remedy; ""Regulator"" means any regulatory authority in any jurisdiction with oversight or other regulatory functions over any Clifford Chance Entity; ""Service Credits"" means the service credits awarded by the Supplier to Clifford Chance in accordance with Schedule 2 (Service Level Agreement); ""Service Level Agreement"" or ""SLA"" means Schedule 2 (Service Level Agreement), including, for the avoidance of doubt, any documents referred to therein; ""Service Levels"" means the service levels set out in Schedule 2 (Service Level Agreement); ""Services Commencement Date"" has the meaning given to it in Clause 6.1; ""Sites"" means each site to which the Core Services are provided; ""SRA"" means Solicitors Regulation Authority or its agent; ""Start of the Exit Phase"" means: (a)     in relation to the expiry of this Agreement, the date which is six months before expiry; (b)     in relation to the termination of this Agreement, in whole or in part, by notice, the date on which notice of termination is served; ""Statement of Requirements"" means the statement of requirements set out in Schedule 1(Statement of Requirements); ""Supplier DR/BCP Plan"" has the meaning given to it in Clause 30 (Business Continuity and Disaster Recovery); ""Supplier Group"" means the Supplier and its group undertakings; ""Supplier Personnel"" means the individuals employed or engaged by the Supplier or any member of the Supplier Group or, if any agreement is made to subcontract, their sub-contractors who are involved from time to time in the performance of the Core Services (whether or not they are wholly or mainly engaged in the Core Services) or who performs the other obligations under the Agreement and ""Supplier Person"" means any one of them; and 1.2       In this Agreement, a reference to: 53782-3-3224 v.01                               -5-                                      OFFICE  EXECUTION VERSION 1.2.1   a ""group undertaking"" means a ""parent undertaking"" or a ""subsidiary undertaking"", and those terms shall have the respective meanings given to them in sections 1161 and 1162 Companies Act 2006; 1.2.2   this Agreement includes a reference to the clauses of and the Schedules and appendices to this Agreement; 1.2.3   a statutory provision includes a reference to the statutory provision as modified or re enacted or both from time to time before or after the relevant Effective Date and any subordinate legislation made or other things done under the statutory provision before or after the relevant Effective Date, and to any successor statutory provisions after the relevant Effective Date; 1.2.4   a document is a reference to that document as modified or replaced from time to time; 1.2.5   a person includes a reference to a government, state, state agency, corporation, body corporate, company, association or partnership or other similar entity; and to that person's legal personal representatives, permitted successors and permitted assigns; 1.2.6   the singular includes the plural and vice versa (unless the context otherwise requires); 1.2.7   the word ""include"" or ""including"" is to be construed without limitation; 1.2.8   a Schedule or Appendix, unless the context requires otherwise, is a reference to a schedule or an appendix to this Agreement; 1.2.9   an obligation to indemnify any person: (a)     is to be construed as including an obligation to hold that person harmless and to keep that person indemnified; and (b)     against a liability is to be construed as including an obligation to indemnify that person against each loss, liability, and cost (including reasonable legal expenses) arising as a result of defending or settling the claim which gave rise gave rise to the claim under the indemnity; and (c)     shall be construed as including an obligation to indemnify, to the extent relevant, each director, officer, employee or contractor of that person.","INTERPRETATION","1.1"
"2","Sample-2.pdf","Limitation",7,148,"In particular, but without limitation, the Supplier shall utilise resources used by the Supplier in connection with this Agreement to carry out any additionally chargeable activities that may be requested by Clifford Chance under this Agreement, so as to avoid or minimise additional cost to Clifford Chance; and 53782-3-3224 v.01                                - 10 -                                      OFFICE  EXECUTION VERSION 6.7.5   in the most cost-effective manner consistent with the required level of quality and performance.","",""
"3","Sample-2.pdf","Limitation",7,155,"In particular, but without limitation, the Supplier shall ensure that any change to any procedure, system, equipment, process or other thing employed in connection with the provision of the Core Services or any of the other activities of the Supplier under this Agreement is documented in the Operational Manual.","",""
"4","Sample-2.pdf","Limitation",10,269,"In particular, but without limitation, the Supplier shall: 23.4.1  obtain in a timely fashion, and maintain for as long as it is the provider of the Core Services, all required import, export and use licences, approvals, permits, certifications and authorisations to enable it to deliver the Core Services and to enable Clifford Chance and the Authorised Users to use and benefit from the Core Services.","",""
"5","Sample-2.pdf","Limitation",12,327,"Exclusion of liability Subject to Clause 32.4 (Exceptions to exclusions and limitations): (i) Clifford Chance shall not be liable to the Supplier; and (ii) the Supplier shall not be liable to Clifford Chance, in each case whether for negligence, breach of contract, misrepresentation or otherwise, for indirect or consequential loss.","","32.2"
"6","Sample-2.pdf","Limitation",12,328,"Limitation of liability 32.3.1   Subject to any express provisions to the contrary in this Agreement (including those set out in Clause 32.4 (Exceptions to exclusions and limitations)), the aggregate liability of the Supplier under or in connection with this Agreement, whether for negligence, breach of contract, misrepresentation or otherwise, shall, in relation to any event and all events preceding that event (taken together), be limited to an amount equal to the Maximum Liability 53782-3-3224 v.01                                 - 34 -                                       OFFICE  EXECUTION VERSION Amount.","","32.3"
"7","Sample-2.pdf","Limitation",12,329,"For the avoidance of doubt, this represents an aggregate limitation of liability for all events and not a per-event limitation of liability.","",""
"8","Sample-2.pdf","Limitation",12,332,"Subject to any express provisions to the contrary in this Agreement (including those set out in Clause 32.4 (Exceptions to exclusions and limitations)), the aggregate liability of Clifford Chance under or in connection with this Agreement, whether for negligence, breach of contract, misrepresentation or otherwise, shall, in relation to any event and all events preceding that event (taken together), be limited to an amount equal to the Maximum Liability Amount.","","32.3.4"
"9","Sample-2.pdf","Limitation",12,333,"For the avoidance of doubt, this represents an aggregate limitation of liability for all events and not a per-event limitation of liability.","",""
"10","Sample-2.pdf","Limitation",12,334,"The limitation on liability set out in sub-clause 32.3.4 does not apply to Clifford Chance's obligation to pay the Charges.","","32.3.5"
